District,Dem2018,Rep2018,state,party,voteshare,TRUMP.SCORE,Inc_fname,Inc_lname,inc_year_elected,inc_birth,inc_gender,inc_race,inc_religion,inc_lgbtq,inc_2016status,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,HouseD_2016,HouseR_2016,HouseR_2014,HouseR_2012,White,Black,Latino,Asian,Native,Other,BA,BA_WHite,Med_Income,Inc_F,Rep.forecast
TN-1,21.0,77.1,TN,R,73.31,95.7,Phil,Roe,2008,1945,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,19.7,76.7,25.7,72.7,28.6,69.9,15.4,78.4,33.3,79.3,94.8,2.1,1.3,0.5,0.3,1.1,19.4,19.8,41006,0,73.31
TN-3,34.5,63.7,TN,R,63.5,97.8,Chuck,Fleischmann,2010,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,30.2,65.4,35.1,63.3,37.3,61.3,28.8,66.4,76.0,63.4,85.7,10.4,1.6,0.9,0.3,1.1,22.7,23.5,43938,0,63.5
TN-4,33.6,63.4,TN,R,58.83,91.4,Scott,DesJarlais,2010,1964,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,27.4,68.6,33.1,65.3,35.8,62.6,35.0,65.0,100.0,55.8,86.0,8.3,2.3,1.0,0.2,2.0,22.6,23.0,50598,0,58.83
TN-5,67.8,32.2,TN,D,68.51,38.0,Jim,Cooper,"2002, 1982-1994",1954,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,56.5,38.2,55.9,42.5,57.5,41.3,62.6,37.4,63.3,33.4,68.5,25.1,3.0,1.7,0.3,1.3,37.5,43.6,54470,0,31.49
TN-8,30.1,67.6,TN,R,68.38,93.5,David,Kustoff,2016,1966,Man,White - Non-Hispanic,Jewish,No,Open - Retired,30.7,66.3,32.9,66.1,34.9,64.1,25.1,68.8,89.3,70.6,76.8,19.3,1.7,1.2,0.2,0.8,27.6,28.9,54145,0,68.38
TN-9,79.9,19.3,TN,D,76.77,16.3,Steve,Cohen,2006,1949,Man,White - Non-Hispanic,Jewish,No,Re-elected,77.5,19.8,78.4,20.9,77.0,22.5,78.7,18.9,64.6,24.1,29.2,66.4,2.1,1.1,0.1,1.0,24.1,38.2,39761,0,23.23
TX-1,26.3,72.3,TX,R,70.95,82.0,Louie,Gohmert,2004,1953,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,25.3,72.2,27.5,71.6,30.5,69.0,24.1,73.9,61.4,72.6,71.3,18.5,8.2,0.8,0.4,0.9,20.9,24.7,45313,0,70.95
TX-10,46.9,50.9,TX,R,53.85,98.9,Michael,McCaul,2004,1962,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,43.2,52.3,38.8,59.1,42.7,56.4,38.4,57.3,72.2,62.5,65.6,11.2,17.7,4.0,0.2,1.3,38.7,45.5,73476,0,53.85
TX-11,18.4,80.2,TX,R,78.44,98.9,Mike,Conaway,2004,1948,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,19.1,77.8,19.6,79.2,23.2,76.1,0.0,89.5,50.9,80.9,65.9,3.7,28.4,0.7,0.3,1.0,20.4,26.3,50602,0,78.44
TX-12,33.9,64.3,TX,R,65.61,97.7,Kay,Granger,1996,1943,Woman,White - Non-Hispanic,Christian - Methodist,No,Re-elected,32.7,62.9,31.7,66.8,35.5,63.7,26.9,69.4,56.5,72.7,72.4,8.4,14.8,2.7,0.4,1.3,29.9,34.3,62214,1,65.61
TX-13,17.0,81.4,TX,R,80.04,97.8,Mac,Thornberry,1994,1958,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,16.9,79.9,18.5,80.2,22.3,77.0,0.0,90.0,40.4,100.0,73.8,5.5,17.5,1.3,0.6,1.3,20.4,24.7,50150,0,80.04
TX-14,39.2,59.3,TX,R,58.38,93.3,Randy,Weber,2012,1953,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,38.4,58.2,39.5,59.3,42.2,57.1,38.1,61.9,31.4,54.5,59.0,20.9,16.4,2.4,0.3,1.0,22.7,28.4,58103,0,58.38
TX-15,60.0,38.5,TX,D,65.49,33.7,Vicente,González,2016,1967,Man,Hispanic,Christian - Roman Catholic,No,Open - Retired,56.7,40.0,57.4,41.5,57.4,41.9,57.3,37.7,72.1,37.7,23.1,2.4,72.8,1.2,0.2,0.4,19.8,31.1,41947,0,34.51
TX-17,41.7,56.4,TX,R,58.92,98.9,Bill,Flores,2010,1954,Man,Hispanic - Texan (Hispanos),Christian - Southern Baptist,No,Re-elected,38.8,56.3,37.7,60.4,41.0,58.1,35.2,60.8,31.0,100.0,65.6,13.3,16.6,2.9,0.2,1.4,29.4,36.3,50888,0,58.92
TX-18,75.2,20.8,TX,D,76.3,15.2,Shelia,Jackson Lee,1994,1950,Woman,Black - African-American,Christian - Seventh-Day Adventist,No,Re-elected,76.5,20.0,76.1,22.8,76.7,22.9,73.5,23.6,45.0,23.1,23.6,46.4,25.0,3.9,0.1,1.0,22.4,49.6,42662,1,23.7
TX-19,24.7,75.3,TX,R,76.82,96.7,Jodey,Arrington,2016,1972,Man,White - Non-Hispanic,Christian - Presbyterian,No,Open - Retired,23.5,72.5,25.0,73.6,28.0,71.3,0.0,86.7,45.3,100.0,62.5,6.0,29.0,1.0,0.4,1.1,22.4,30.8,47875,0,76.82
TX-22,46.4,51.4,TX,R,51.53,96.7,Pete,Olson,2008,1962,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,44.2,52.1,36.7,62.1,38.8,60.5,40.5,59.5,61.5,66.7,49.7,14.5,19.5,14.7,0.3,1.3,45.1,46.6,87901,0,51.53
TX-23,48.7,49.2,TX,R,51.88,95.7,Will,Hurd,2014,1977,Man,Black - African-American,Christian - Protestant,No,Re-elected,49.8,46.4,48.1,50.7,50.0,49.4,47.0,48.3,100.0,47.5,31.8,3.8,62.0,1.2,0.4,0.8,21.7,38.4,51293,0,51.88
TX-24,47.5,50.7,TX,R,56.88,95.6,Kenny,Marchant,2004,1951,Man,White - Non-Hispanic,Christian - Nazarene (Holiness),No,Re-elected,44.5,50.7,38.0,60.4,40.7,58.6,39.3,56.2,60.7,62.9,63.3,11.6,14.5,8.4,0.3,1.8,44.7,50.9,70454,0,56.88
TX-25,44.7,53.6,TX,R,52.76,92.4,Roger,Williams,2012,1949,Man,White - Non-Hispanic,Christian - Disciples of Christ,No,Re-elected,40.2,55.1,37.8,59.9,42.8,56.2,37.7,58.3,37.0,60.9,74.9,7.1,13.5,2.3,0.3,1.8,37.2,41.4,69083,0,52.76
TX-26,39.0,59.4,TX,R,63.48,95.6,Michael,Burgess,2002,1950,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,34.4,60.9,30.7,67.6,35.0,64.3,29.6,66.4,19.0,70.4,74.4,7.5,12.0,3.9,0.4,1.8,44.2,46.7,87272,0,63.48
TX-27,36.6,60.3,TX,R,61.7,100.0,Michael,Cloud,2018 Special,1974/1975,,White - Non-Hispanic,Any,No,Re-elected,36.5,60.1,38.2,60.5,40.2,59.1,38.3,61.7,43.4,59.1,47.3,5.4,45.2,1.1,0.2,0.8,20.3,29.3,53047,0,61.7
TX-31,47.6,50.7,TX,R,53.74,97.8,John,Carter,2002,1941,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,40.8,53.5,38.3,59.6,42.8,56.2,36.5,58.4,26.9,63.7,64.8,11.2,18.3,3.4,0.3,2.0,34.3,38.3,69228,0,53.74
TX-32,52.2,45.9,TX,R,49.8,97.8,Pete,Sessions,2002,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,48.5,46.6,41.5,57.0,44.0,55.3,0.0,71.1,69.5,59.6,63.8,13.0,14.2,6.7,0.2,2.0,43.4,55.7,70119,0,49.8
TX-33,76.1,21.9,TX,D,74.12,21.1,Marc,Veasey,2012,1971,Man,Black - African-American,Christian - Southern Baptist,No,Re-elected,72.9,23.7,72.0,27.1,68.7,30.7,73.7,26.3,56.8,26.2,27.0,24.4,44.9,2.5,0.3,0.9,9.3,24.3,38445,0,25.88
TX-34,60.0,40.0,TX,D,68.2,23.6,Filemon,Vela,2012,1963,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,59.2,37.7,60.8,38.3,60.2,39.2,62.7,37.3,59.3,36.9,20.4,1.7,77.1,0.5,0.1,0.2,15.1,26.1,37989,0,31.8
TX-35,71.2,26.1,TX,D,69.19,15.1,Lloyd,Doggett,1994,1946,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,64.1,30.5,63.0,34.6,63.5,35.6,63.1,31.6,65.0,33.4,34.2,10.6,52.4,1.3,0.2,1.2,20.4,34.3,48490,0,30.81
TX-36,27.4,72.6,TX,R,70.55,95.6,Brian,Babin,2014,1948,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,25.2,72.0,25.7,73.2,29.6,69.6,0.0,88.6,63.9,72.7,71.6,9.5,15.6,1.7,0.4,1.2,19.4,21.7,58984,0,70.55
TX-4,23.0,75.7,TX,R,74.79,91.4,John,Ratcliffe,2014,1965,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,21.8,75.4,24.8,74.0,29.4,69.9,0.0,88.0,47.1,75.2,79.6,10.7,6.9,0.7,0.6,1.5,22.1,24.3,52481,0,74.79
TX-7,52.3,47.7,TX,R,49.81,97.8,John,Culberson,2000,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,48.5,47.1,38.6,59.9,40.5,58.8,43.8,56.2,68.5,62.5,56.8,14.1,19.0,8.7,0.2,1.3,50.7,61.5,71183,0,49.81
TX-8,24.8,73.5,TX,R,76.0,98.9,Kevin,Brady,1996,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,23.9,72.7,21.7,77.0,26.2,73.2,0.0,100.0,62.0,79.2,74.9,9.0,12.4,2.2,0.3,1.2,30.2,32.5,64861,0,76.0
UT-1,24.4,62.2,UT,R,61.05,95.6,Rob,Bishop,2002,1951,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,22.4,49.7,20.4,77.4,29.4,67.7,26.4,65.9,59.4,74.3,87.3,0.9,7.9,1.6,0.9,1.3,28.9,31.3,65896,0,61.05
UT-2,37.3,57.9,UT,R,54.44,94.4,Chris,Stewart,2012,1960,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,32.0,46.0,29.2,68.0,38.4,58.5,33.9,61.6,42.8,65.0,85.7,0.9,8.4,2.7,0.9,1.3,32.5,35.3,60700,0,54.44
UT-3,26.9,68.2,UT,R,64.31,95.2,John,Curtis,2017 Special,1960,Man,White - Non-Hispanic,Christian - Mormon,No,Re-elected,23.3,47.2,19.5,78.3,29.5,67.5,26.5,73.5,59.1,76.6,88.8,0.5,5.9,1.9,1.4,1.6,41.6,44.0,70763,0,64.31
UT-4,50.3,49.7,UT,R,49.04,95.7,Mia,Love,2014,1975,Woman,Black - Haitian,Christian - Mormon,No,Re-elected,32.4,39.1,30.2,67.2,40.9,56.1,41.3,53.8,55.2,49.8,84.4,1.2,9.2,3.3,0.7,1.2,28.2,31.2,68711,1,49.04
VA-1,44.7,55.2,VA,R,57.1,90.1,Rob,Wittman,2007 Special,1959,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,41.2,53.6,43.4,55.3,44.9,54.3,36.6,59.9,71.2,63.1,73.3,16.7,5.3,2.4,0.4,1.9,37.5,41.2,81338,0,57.1
VA-10,56.1,43.7,VA,R,46.13,97.8,Barbara,Comstock,2014,1959,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,52.2,42.2,48.8,49.9,51.2,48.4,46.9,52.7,40.0,60.1,72.5,7.2,7.1,10.9,0.3,2.1,54.3,56.7,120384,1,46.13
VA-11,71.1,26.9,VA,D,67.17,25.0,Gerry,Connolly,2008,1950,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,66.9,27.5,62.5,36.3,62.5,37.1,87.9,0.0,38.4,36.8,58.2,13.5,10.8,14.7,0.1,2.8,55.5,66.5,106554,0,32.83
VA-2,51.0,48.8,VA,R,51.26,97.8,Scott,Taylor,2016,1979,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,45.4,48.8,48.2,50.5,49.0,50.1,38.5,61.3,68.1,58.4,68.0,19.3,5.5,4.4,0.3,2.4,34.4,38.5,66953,0,51.26
VA-4,62.5,36.1,VA,D,62.58,19.1,Donald,McEachin,2016,1961,Man,Black - African-American,Christian - Baptist,No,Open - Lost Primary/Redistricted,58.7,37.1,60.3,38.5,60.7,38.6,57.7,42.0,58.1,38.8,52.1,41.5,2.8,1.6,0.3,1.8,30.1,37.8,54607,0,37.42
VA-7,50.3,48.4,VA,R,49.07,89.1,Dave,Brat,2014 Special,1964,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,44.0,50.5,44.1,54.6,45.7,53.5,42.2,57.5,62.8,60.8,73.2,18.4,3.5,3.0,0.2,1.6,39.0,43.1,73580,0,49.07
VA-8,76.1,23.7,VA,D,75.94,18.2,Don,Beyer,2014,1950,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,73.5,20.9,67.8,31.0,68.2,30.5,68.4,27.3,74.8,32.1,64.1,13.6,10.0,9.8,0.2,2.4,61.8,77.1,100719,0,24.06
VA-9,34.8,65.2,VA,R,60.17,88.9,Morgan,Griffith,2010,1958,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,27.3,68.8,34.9,63.1,40.2,58.4,28.3,68.6,34.3,61.4,91.8,5.4,1.1,0.8,0.1,0.8,20.4,20.0,41698,0,60.17
VT-1,69.2,26.0,VT,D,70.92,17.4,Peter,Welch,2006,1947,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.7,30.3,67.0,31.2,67.8,30.6,89.5,0.0,51.6,24.4,95.4,0.8,1.4,0.9,0.3,1.3,36.4,36.5,57677,0,29.08
WA-1,59.3,40.7,WA,D,64.09,21.7,Suzan,DelBene,2012 Special,1963,Woman,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,54.1,37.8,54.1,43.3,56.3,41.9,55.4,44.6,43.4,46.1,83.8,1.1,4.8,6.7,1.0,2.5,43.4,41.5,91018,1,35.91
WA-10,61.4,38.6,WA,D,65.38,22.8,Denny,Heck,2012,1952,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,51.3,39.9,56.3,41.1,57.2,41.0,58.7,41.3,30.7,41.4,74.6,6.1,6.9,6.8,1.3,4.3,28.7,30.9,62206,0,34.62
WA-3,47.2,52.8,WA,R,51.95,91.3,Jaime,Herrera Beutler,2010,1978,Woman,Hispanic - Mexican,Christian - Protestant,No,Re-elected,42.5,49.9,47.9,49.6,50.9,47.1,38.2,61.8,63.5,60.4,87.6,1.4,4.5,3.0,0.8,2.8,25.4,25.8,61304,1,51.95
WA-4,35.5,64.5,WA,R,61.38,96.6,Dan,Newhouse,2014,1955,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,35.1,57.9,37.9,59.7,39.2,58.9,0.0,100.0,62.0,66.2,72.6,1.1,20.4,1.3,2.6,2.0,20.1,26.4,52484,0,61.38
WA-5,45.1,54.9,WA,R,52.28,97.8,Cathy,McMorris Rodgers,2004,1969,Woman,White - Non-Hispanic,Christian - Nondenominational,No,Re-elected,39.1,52.2,43.7,53.5,46.3,51.2,40.4,59.6,33.0,61.9,88.5,1.4,4.1,1.9,1.4,2.6,30.4,30.9,51697,1,52.28
WA-6,63.8,36.2,WA,D,66.91,27.2,Derek,Kilmer,2012,1974,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,51.8,39.5,56.1,41.2,57.0,40.9,61.5,38.5,57.4,41.0,82.5,3.5,4.6,3.8,1.7,3.9,29.7,31.6,60616,0,33.09
WA-7,83.5,16.5,WA,D,84.49,9.8,Pramila,Jayapal,2016,1965,Woman,Asian - Indian,Unknown,No,Open - Retired,82.1,12.2,79.2,18.1,80.4,18.0,100.0,0.0,61.0,20.3,78.1,3.5,5.0,8.8,0.6,4.1,61.0,64.5,84579,1,15.51
WI-3,59.7,40.3,WI,D,61.9,31.9,Ron,Kind,1996,1963,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,44.8,49.3,54.8,43.8,59.4,39.1,98.9,0.0,32.9,35.9,94.8,1.0,1.3,1.5,0.5,0.8,25.4,25.8,52154,0,38.1
WI-4,75.5,21.9,WI,D,75.87,10.1,Gwen,Moore,2004,1951,Woman,Black - African-American,Christian - Baptist,No,Re-elected,74.0,21.8,75.3,23.8,74.4,24.6,76.7,0.0,60.6,25.6,52.6,32.8,9.7,2.6,0.5,1.8,27.4,39.9,41816,1,24.13
WI-5,38.0,62.0,WI,R,59.4,88.2,Jim,Sensenbrenner,1978,1943,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,37.3,57.4,37.7,61.3,41.8,57.2,29.3,66.7,60.1,67.9,92.4,1.8,3.3,1.4,0.2,0.8,36.9,36.9,68162,0,59.4
WI-6,44.5,55.5,WI,R,55.69,93.5,Glenn,Grothman,2014,1955,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,38.8,55.7,45.8,53.1,49.4,49.3,37.3,57.2,60.9,62.2,93.6,1.5,2.3,1.4,0.5,0.7,26.4,26.8,57129,0,55.69
WI-7,38.5,60.2,WI,R,58.94,94.4,Sean,Duffy,2010,1971,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,37.3,57.7,47.8,50.9,53.2,45.3,38.3,61.7,59.7,56.2,94.6,0.5,1.2,1.0,1.8,0.9,23.1,23.4,51738,0,58.94
WI-8,36.3,63.7,WI,R,60.91,94.6,Mike,Gallagher,2016,1984,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,38.6,56.2,47.6,51.3,53.7,45.0,37.3,62.6,63.1,56.0,92.3,1.0,2.2,1.4,2.1,1.0,25.4,26.0,57888,0,60.91
WV-1,35.4,64.6,WV,R,62.64,97.8,David,McKinley,2010,1947,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,26.4,68.0,35.5,62.2,41.5,56.7,31.0,69.0,58.4,62.5,95.0,2.4,0.9,0.6,0.2,0.9,23.5,23.1,45611,0,62.64
WV-2,43.0,54.0,WV,R,53.69,84.9,Alex,Mooney,2014,1971,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,29.4,65.8,38.0,60.0,43.9,54.7,41.8,58.2,38.8,69.8,92.5,3.8,1.3,0.6,0.2,1.6,21.5,21.1,48358,0,53.69
WY-1,29.8,63.6,WY,R,63.15,95.7,Liz,Cheney,2016,1966,Woman,White - Non-Hispanic,Christian - Methodist,No,Open - Retired,22.5,70.1,28.0,69.2,32.7,65.2,30.0,62.0,60.8,74.3,88.4,0.9,6.9,0.6,1.8,1.5,27.1,28.5,59882,1,63.15
